"","nsubj","ntax","d","include_ttt","ntheta","nobs"
"357",35,150,3,FALSE,447,5250
"358",35,150,3,TRUE,450,5250
"359",20,200,3,FALSE,597,4000
"360",30,200,2,FALSE,399,6000
"361",20,200,3,TRUE,600,4000
"362",30,200,2,TRUE,402,6000
"363",40,175,2,FALSE,349,7000
"364",40,175,2,TRUE,352,7000
"365",40,150,3,FALSE,447,6000
"366",40,150,3,TRUE,450,6000
"367",30,175,3,FALSE,522,5250
"368",30,175,3,TRUE,525,5250
"369",35,200,2,FALSE,399,7000
"370",35,200,2,TRUE,402,7000
"371",25,200,3,FALSE,597,5000
"372",25,200,3,TRUE,600,5000
"373",40,200,2,FALSE,399,8000
"374",35,175,3,FALSE,522,6125
"375",35,175,3,TRUE,525,6125
"376",40,200,2,TRUE,402,8000
"377",30,200,3,FALSE,597,6000
"378",30,200,3,TRUE,600,6000
"379",40,175,3,FALSE,522,7000
"380",40,175,3,TRUE,525,7000
"381",35,200,3,FALSE,597,7000
"382",35,200,3,TRUE,600,7000
"383",40,200,3,FALSE,597,8000
"384",40,200,3,TRUE,600,8000
