sample_name	sample_accession
15425.MT6190	ERS17988621
15425.MT6M191	ERS17988630
15425.MT6H192	ERS17988628
15425.MT6DHTH193	ERS17988626
15425.M6DHTC194	ERS17988586
15425.M6T0195	ERS17988588
15425.FT1C196	ERS17988508
15425.F1TL197	ERS17988472
15425.F1TF198	ERS17988468
15425.F1TH199	ERS17988470
15425.FT1DHTH200	ERS17988510
15425.F1DHTC201	ERS17988463
15425.F1T0202	ERS17988466
15425.FT2C203	ERS17988512
15425.F2TFL204	ERS17988480
15425.F2TF205	ERS17988478
15425.F2TH206	ERS17988482
15425.FT2DHTH207	ERS17988514
15425.F2DHTC208	ERS17988474
15425.F2T0209	ERS17988476
15425.FT3C210	ERS17988516
15425.F3TL211	ERS17988495
15425.F3TF212	ERS17988491
15425.F3TH213	ERS17988493
15425.F31DHTH214	ERS17988484
15425.F3DHTC215	ERS17988487
15425.F3T0216	ERS17988489
15425.FT5C217	ERS17988523
15425.FT5L218	ERS17988532
15425.FT5F219	ERS17988528
15425.FT5H220	ERS17988530
15425.FT5DHTH221	ERS17988525
15425.F5DHTC222	ERS17988499
15425.F5T0223	ERS17988501
15425.FT6C224	ERS17988536
15425.FT6225	ERS17988534
15425.FT6F226	ERS17988540
15425.FT6H227	ERS17988542
15425.FT6DHTH228	ERS17988538
15425.F6DHTC229	ERS17988503
15425.F6T0230	ERS17988505
15425.M1T09231	ERS17988547
15425.MT1C9232	ERS17988591
15425.M1TL9233	ERS17988551
15425.M1TM9234	ERS17988553
15425.M1TH9235	ERS17988549
15425.MT1DHTH9236	ERS17988593
15425.M1DHTC9237	ERS17988545
15425.M2T09238	ERS17988558
15425.MT2C9239	ERS17988595
15425.M2TML9240	ERS17988564
15425.M2TM9241	ERS17988562
15425.M2TH9242	ERS17988560
15425.MT2DHTH9243	ERS17988597
15425.M2DHTC9244	ERS17988556
15425.M3T09245	ERS17988570
15425.MT3C9246	ERS17988599
15425.M3TL9247	ERS17988574
15425.M3TM9248	ERS17988576
15425.M3TH9249	ERS17988572
15425.M31DHTH9250	ERS17988566
15425.M3DHTC9251	ERS17988568
15425.M4T09252	ERS17988581
15425.MT4C9253	ERS17988601
15425.MT4L9254	ERS17988608
15425.MT4M9255	ERS17988610
15425.MT4H9256	ERS17988606
15425.MT4DHTH9257	ERS17988604
15425.M4DHTC9258	ERS17988578
15425.M5T09259	ERS17988585
15425.MT5C9260	ERS17988612
15425.MT5L9261	ERS17988618
15425.MT5M9262	ERS17988620
15425.MT5H9263	ERS17988616
15425.MT5DHTH9264	ERS17988614
15425.M5DHTC9265	ERS17988583
15425.M6T09266	ERS17988589
15425.MT6C9267	ERS17988624
15425.MT69268	ERS17988622
